goos: linux
goarch: amd64
pkg: github.com/dfuse-io/dkafka
cpu: AMD Ryzen 7 PRO 5850U with Radeon Graphics     
Benchmark_adapter_adapt/filter-out-4         	10332046	       116.5 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-out-4         	10510134	       115.7 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-out-4         	10413012	       122.9 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-out-4         	 9960258	       127.8 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-out-4         	 9494500	       123.6 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-out-4         	 9628233	       123.2 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-out-4         	 9791188	       125.2 ns/op	     200 B/op	       2 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  117428	     10093 ns/op	    7830 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  118431	      9797 ns/op	    7829 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  114266	      9987 ns/op	    7830 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  123003	      9862 ns/op	    7829 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  119638	     10152 ns/op	    7830 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  111313	      9988 ns/op	    7830 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-4          	  124402	      9956 ns/op	    7829 B/op	      77 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   33986	     33813 ns/op	   16755 B/op	     179 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   35853	     34484 ns/op	   16757 B/op	     179 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   35376	     34193 ns/op	   16756 B/op	     179 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   35545	     32451 ns/op	   16757 B/op	     179 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   37009	     32065 ns/op	   16753 B/op	     179 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   36964	     33050 ns/op	   16750 B/op	     179 allocs/op
Benchmark_adapter_adapt/filter-in-actions-4  	   36535	     33384 ns/op	   16753 B/op	     179 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   35686	     32124 ns/op	   19714 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   33997	     34520 ns/op	   19710 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   32738	     34296 ns/op	   19715 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   35994	     34269 ns/op	   19713 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   34743	     36187 ns/op	   19712 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   35950	     33689 ns/op	   19713 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-tables-4         	   35238	     33372 ns/op	   19714 B/op	     244 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   34483	     32832 ns/op	   18531 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   37524	     32559 ns/op	   18534 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   37677	     32946 ns/op	   18533 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   39054	     32745 ns/op	   18530 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   37503	     31824 ns/op	   18532 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   36414	     34131 ns/op	   18530 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-actions-4        	   37945	     33204 ns/op	   18530 B/op	     251 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   57984	     19705 ns/op	   13171 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   61342	     18826 ns/op	   13170 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   66468	     18727 ns/op	   13171 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   60991	     19648 ns/op	   13172 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   62601	     19050 ns/op	   13171 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   62661	     19178 ns/op	   13172 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-tables-avro-4    	   67053	     18508 ns/op	   13171 B/op	     135 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   60060	     21090 ns/op	   12926 B/op	     155 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   57570	     20382 ns/op	   12925 B/op	     155 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   56174	     20920 ns/op	   12925 B/op	     155 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   60207	     20011 ns/op	   12925 B/op	     155 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   60102	     21091 ns/op	   12926 B/op	     155 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   58984	     20885 ns/op	   12924 B/op	     155 allocs/op
Benchmark_adapter_adapt/cdc-actions-avro-4   	   59265	     21192 ns/op	   12924 B/op	     155 allocs/op
PASS
ok  	github.com/dfuse-io/dkafka	70.701s
